# com1_x,com1_y,com1_x_dot,com1_y_dot,end1_x,end1_y,end1_x_dot,end1_y_dot,com2_x,com2_y,com2_x_dot,com2_y_dot,end2_x,end2_y,end2_x_dot,end2_y_dot,tau_force_1,tau_force_2,tau_grav_comp_1,tau_grav_comp_2
1.639993211226e-01,-4.718806192915e-04,-2.202726937843e-08,-7.655447324094e-06,3.279986422452e-01,-9.437612385831e-04,-4.405453875685e-08,-1.531089464819e-05,4.858008853504e-01,-8.846423509749e-03,-1.181678574583e-06,-3.802724244388e-05,6.436031284556e-01,-1.674908578091e-02,-2.319302610409e-06,-6.074359023958e-05,6.268540426747e-01,2.997991616680e-01,2.261474517896e+00,3.144433520572e-01
1.639992989167e-01,-4.795360660987e-04,-3.104559111861e-08,-1.061746037024e-05,3.279985978334e-01,-9.590721321975e-04,-6.209118223722e-08,-2.123492074049e-05,4.857997016794e-01,-8.884450669197e-03,-8.170505912692e-07,-3.626681196790e-05,6.436008055255e-01,-1.680982920620e-02,-1.572010000301e-06,-5.129870319531e-05,6.267909763193e-01,2.997514506182e-01,2.261471984127e+00,3.144410819219e-01
1.639992675274e-01,-4.901535254566e-04,-5.693926905656e-09,-1.905117056971e-06,3.279985350548e-01,-9.803070509132e-04,-1.138785381131e-08,-3.810234113943e-06,4.857988832255e-01,-8.920717443160e-03,-1.036285784542e-07,-5.643340684653e-06,6.435992313962e-01,-1.686112783541e-02,-1.958693030970e-07,-7.476447255363e-06,6.267381035608e-01,2.997198755570e-01,2.261470105677e+00,3.144395761316e-01
1.639992618224e-01,-4.920586424805e-04,8.201918162829e-09,2.733634587640e-06,3.279985236448e-01,-9.841172849609e-04,1.640383632566e-08,5.467269175280e-06,4.857987795642e-01,-8.926360783242e-03,-1.087369173094e-07,2.980913405173e-06,6.435990354835e-01,-1.686860428152e-02,-2.338776709444e-07,4.945576350656e-07,6.267304312020e-01,2.997160248421e-01,2.261469854123e+00,3.144393923076e-01
1.639992700015e-01,-4.893250078246e-04,1.876185484313e-08,6.288112091036e-06,3.279985400031e-01,-9.786500156492e-04,3.752370968626e-08,1.257622418207e-05,4.857986707621e-01,-8.923379868715e-03,3.269896950675e-07,1.832566704397e-05,6.435988015211e-01,-1.686810972178e-02,6.164556804487e-07,2.407510990587e-05,6.267306917993e-01,2.997108018119e-01,2.261469701827e+00,3.144391429079e-01
1.639992886428e-01,-4.830368953754e-04,1.706477190508e-08,5.793781965888e-06,3.279985772857e-01,-9.660737907508e-04,3.412954381015e-08,1.158756393178e-05,4.857989974059e-01,-8.905054195682e-03,2.086017504179e-07,1.505548879086e-05,6.435994175262e-01,-1.684403460061e-02,3.830739570256e-07,1.852341364993e-05,6.267553829256e-01,2.997228794307e-01,2.261470499734e+00,3.144397195012e-01
1.639993056053e-01,-4.772431131093e-04,1.273020973813e-08,4.374595462804e-06,3.279986112105e-01,-9.544862262186e-04,2.546041947626e-08,8.749190925608e-06,4.857992057649e-01,-8.889998704374e-03,8.577033967312e-07,2.529864970171e-05,6.435998003193e-01,-1.682551118253e-02,1.689946373986e-06,4.184810847782e-05,6.267742891367e-01,2.997301641524e-01,2.261471048699e+00,3.144400670859e-01
1.639993182771e-01,-4.728685174772e-04,-5.035895386107e-10,-1.746539216953e-07,3.279986365543e-01,-9.457370349545e-04,-1.007179077221e-09,-3.493078433907e-07,4.858000624838e-01,-8.864700010723e-03,8.363958832833e-07,1.633764949213e-05,6.436014884133e-01,-1.678366298649e-02,1.673798945644e-06,3.302460682765e-05,6.268178254268e-01,2.997649259075e-01,2.261472855775e+00,3.144417237188e-01
1.639993177735e-01,-4.730431713987e-04,-3.489499186741e-08,-1.209774330543e-05,3.279986355469e-01,-9.460863427973e-04,-6.978998373482e-08,-2.419548661085e-05,4.858008979972e-01,-8.848362316985e-03,-2.069522602757e-06,-6.412858090016e-05,6.436031604475e-01,-1.675063829117e-02,-4.069255221780e-06,-1.040616751895e-04,6.268525221563e-01,2.997999729522e-01,2.261474516682e+00,3.144433906051e-01
1.639992824323e-01,-4.851409134061e-04,-1.680893342103e-09,-5.682169743521e-07,3.279985648645e-01,-9.702818268121e-04,-3.361786684206e-09,-1.136433948704e-06,4.857988225295e-01,-8.912490641839e-03,-1.823651882280e-07,-4.692973891734e-06,6.435990801945e-01,-1.685469945687e-02,-3.613685897718e-07,-8.249513834763e-06,6.267443807376e-01,2.997160976999e-01,2.261470102285e+00,3.144393957860e-01
1.639992807504e-01,-4.857091303775e-04,-3.742307085183e-09,-1.263586850509e-06,3.279985615008e-01,-9.714182607550e-04,-7.484614170367e-09,-2.527173701018e-06,4.857986401223e-01,-8.917183613708e-03,4.465763205854e-07,6.490315240660e-06,6.435987187438e-01,-1.686294896666e-02,9.006372553412e-07,1.550780418234e-05,6.267357697771e-01,2.997086265371e-01,2.261469725548e+00,3.144390390165e-01
