# theta1,theta2,theta1_dot,theta2_dot
-2.927230205386877060e-03,2.508547592163085938e+01,-2.509215846657752991e-05,6.103515625000000000e-05
-2.952322363853454590e-03,2.508553695678710938e+01,-1.156167127192020416e-05,-1.182556152343750000e-04
-2.963884035125374794e-03,2.508541870117187500e+01,-6.463890895247459412e-05,5.722045898437500000e-05
-3.028522944077849388e-03,2.508547592163085938e+01,5.033449269831180573e-05,5.340576171875000000e-05
-2.978188451379537582e-03,2.508552932739257812e+01,2.255942672491073608e-05,-1.220703125000000000e-04
-2.955629024654626846e-03,2.508540725708007812e+01,-2.063601277768611908e-05,9.918212890625000000e-05
-2.976265037432312965e-03,2.508550643920898438e+01,-1.659826375544071198e-05,3.433227539062500000e-05
-2.992863301187753677e-03,2.508554077148437500e+01,9.468127973377704620e-05,-7.629394531250000000e-06
-2.898182021453976631e-03,2.508553314208984375e+01,-6.544869393110275269e-07,-1.525878906250000000e-05
-2.898836508393287659e-03,2.508551788330078125e+01,-1.122315879911184311e-04,-1.144409179687500000e-05
-3.011068096384406090e-03,2.508550643920898438e+01,4.019192419946193695e-05,-3.623962402343750000e-05
-2.970876172184944153e-03,2.508547019958496094e+01,-7.604062557220458984e-05,-4.005432128906250000e-05
-3.046916797757148743e-03,2.508543014526367188e+01,1.218223478645086288e-04,-1.525878906250000000e-05
-2.925094449892640114e-03,2.508541488647460938e+01,1.092313323169946671e-04,2.670288085937500000e-05
-2.815863117575645447e-03,2.508544158935546875e+01,-1.633439678698778152e-04,7.629394531250000000e-05
-2.979207085445523262e-03,2.508551788330078125e+01,1.680874265730381012e-05,-5.722045898437500000e-05
-2.962398342788219452e-03,2.508546066284179688e+01,-7.694470696151256561e-05,3.433227539062500000e-05
-3.039343049749732018e-03,2.508549499511718750e+01,7.955427281558513641e-05,-3.814697265625000000e-06
-2.959788776934146881e-03,2.508549118041992188e+01,1.601781696081161499e-05,-7.247924804687500000e-05
-2.943770959973335266e-03,2.508541870117187500e+01,1.923460513353347778e-05,4.959106445312500000e-05
-2.924536354839801788e-03,2.508546829223632812e+01,-8.642557077109813690e-05,4.386901855468750000e-05
-3.010961925610899925e-03,2.508551216125488281e+01,6.217742338776588440e-05,-1.029968261718750000e-04
-2.948784502223134041e-03,2.508540916442871094e+01,-9.335414506494998932e-05,8.201599121093750000e-05
-3.042138647288084030e-03,2.508549118041992188e+01,4.398194141685962677e-05,1.525878906250000000e-05
-2.998156705871224403e-03,2.508550643920898438e+01,-8.231401443481445312e-05,-5.149841308593750000e-05
-3.080470720306038857e-03,2.508545494079589844e+01,1.444271765649318695e-04,3.623962402343750000e-05
-2.936043543741106987e-03,2.508549118041992188e+01,-5.645211786031723022e-05,-6.484985351562500000e-05
-2.992495661601424217e-03,2.508542633056640625e+01,1.669302582740783691e-05,2.670288085937500000e-05
-2.975802635774016380e-03,2.508545303344726562e+01,-5.721021443605422974e-05,2.670288085937500000e-05
-3.033012850210070610e-03,2.508547973632812500e+01,3.912602551281452179e-05,5.722045898437500000e-05
-2.993886824697256088e-03,2.508553695678710938e+01,5.296338349580764771e-05,-5.722045898437500000e-05
-2.940923441201448441e-03,2.508547973632812500e+01,-1.021570060402154922e-04,3.433227539062500000e-05
-3.043080447241663933e-03,2.508551406860351562e+01,5.315360613167285919e-05,-4.196166992187500000e-05
-2.989926841109991074e-03,2.508547210693359375e+01,-3.337603993713855743e-05,0.000000000000000000e+00
-3.023302881047129631e-03,2.508547210693359375e+01,1.057044137269258499e-04,-2.288818359375000000e-05
-2.917598467320203781e-03,2.508544921875000000e+01,-6.081513129174709320e-05,-1.144409179687500000e-05
-2.978413598611950874e-03,2.508543777465820312e+01,7.122452370822429657e-05,3.433227539062500000e-05
-2.907189074903726578e-03,2.508547210693359375e+01,-5.345977842807769775e-05,5.722045898437500000e-06
-2.960648853331804276e-03,2.508547782897949219e+01,-3.448221832513809204e-06,1.144409179687500000e-05
-2.964097075164318085e-03,2.508548927307128906e+01,-4.387716762721538544e-05,-8.964538574218750000e-05
-3.007974242791533470e-03,2.508539962768554688e+01,-2.724654041230678558e-05,1.182556152343750000e-04
-3.035220783203840256e-03,2.508551788330078125e+01,3.448780626058578491e-05,-5.722045898437500000e-05
-3.000732976943254471e-03,2.508546066284179688e+01,6.140652112662792206e-05,-1.144409179687500000e-05
-2.939326455816626549e-03,2.508544921875000000e+01,-4.178564995527267456e-05,-6.484985351562500000e-05
-2.981112105771899223e-03,2.508538436889648438e+01,2.401228994131088257e-05,8.201599121093750000e-05
-2.957099815830588341e-03,2.508546638488769531e+01,-6.290222518146038055e-05,1.277923583984375000e-04
-3.020002041012048721e-03,2.508559417724609375e+01,4.350696690380573273e-05,-1.564025878906250000e-04
-2.976495074108242989e-03,2.508543777465820312e+01,-7.099169306457042694e-05,-6.294250488281250000e-05
-3.047486767172813416e-03,2.508537483215332031e+01,7.440731860697269440e-05,8.392333984375000000e-05
-2.973079448565840721e-03,2.508545875549316406e+01,-1.331581734120845795e-05,5.149841308593750000e-05
-2.986395265907049179e-03,2.508551025390625000e+01,-4.596658982336521149e-05,-3.814697265625000000e-06
-3.032361855730414391e-03,2.508550643920898438e+01,1.081582158803939819e-04,-1.106262207031250000e-04
-2.924203639850020409e-03,2.508539581298828125e+01,-1.986045390367507935e-06,1.068115234375000000e-04
-2.926189685240387917e-03,2.508550262451171875e+01,-7.632980123162269592e-05,-6.484985351562500000e-05
-3.002519486472010612e-03,2.508543777465820312e+01,3.798701800405979156e-05,-3.814697265625000000e-05
-2.964532468467950821e-03,2.508539962768554688e+01,-6.203236989676952362e-05,9.918212890625000000e-05
-3.026564838364720345e-03,2.508549880981445312e+01,5.829380825161933899e-06,-2.288818359375000000e-05
-3.020735457539558411e-03,2.508547592163085938e+01,-4.621897824108600616e-05,6.484985351562500000e-05
-3.066954435780644417e-03,2.508554077148437500e+01,1.398492604494094849e-04,-6.484985351562500000e-05
-2.927105175331234932e-03,2.508547592163085938e+01,-7.530045695602893829e-05,7.057189941406250000e-05
-3.002405632287263870e-03,2.508554649353027344e+01,4.048692062497138977e-06,-8.773803710937500000e-05
-2.998356940224766731e-03,2.508545875549316406e+01,7.279240526258945465e-05,5.531311035156250000e-05
-2.925564534962177277e-03,2.508551406860351562e+01,-1.198705285787582397e-05,-9.536743164062500000e-06
-2.937551587820053101e-03,2.508550453186035156e+01,-6.757047958672046661e-05,-1.716613769531250000e-05
-3.005122067406773567e-03,2.508548736572265625e+01,5.102320574223995209e-05,-5.912780761718750000e-05
-2.954098861664533615e-03,2.508542823791503906e+01,-4.841410554945468903e-05,4.386901855468750000e-05
-3.002512967213988304e-03,2.508547210693359375e+01,3.065355122089385986e-05,-1.659393310546875000e-04
-2.971859415993094444e-03,2.508530616760253906e+01,9.151641279458999634e-06,7.438659667968750000e-05
-2.962707774713635445e-03,2.508538055419921875e+01,7.658475078642368317e-05,1.640319824218750000e-04
-2.886123023927211761e-03,2.508554458618164062e+01,-1.051428262144327164e-04,-7.629394531250000000e-05
-2.991265850141644478e-03,2.508546829223632812e+01,-2.372218295931816101e-05,-4.768371582031250000e-05
-3.014988033100962639e-03,2.508542060852050781e+01,6.406963802874088287e-05,1.544952392578125000e-04
-2.950918395072221756e-03,2.508557510375976562e+01,-3.348290920257568359e-05,-7.820129394531250000e-05
-2.984401304274797440e-03,2.508549690246582031e+01,9.457813575863838196e-06,-4.768371582031250000e-05
-2.974943490698933601e-03,2.508544921875000000e+01,5.056476220488548279e-05,4.577636718750000000e-05
-2.924378728494048119e-03,2.508549499511718750e+01,-8.691172115504741669e-05,2.670288085937500000e-05
-3.011290449649095535e-03,2.508552169799804688e+01,7.650069892406463623e-05,-6.484985351562500000e-05
-2.934789750725030899e-03,2.508545684814453125e+01,-3.699841909110546112e-05,1.335144042968750000e-05
-2.971788169816136360e-03,2.508547019958496094e+01,-1.197603996843099594e-04,3.623962402343750000e-05
-3.091548569500446320e-03,2.508550643920898438e+01,2.294052392244338989e-04,7.629394531250000000e-06
-2.862143330276012421e-03,2.508551406860351562e+01,-1.170982141047716141e-04,-8.392333984375000000e-05
-2.979241544380784035e-03,2.508543014526367188e+01,-1.647812314331531525e-05,1.525878906250000000e-04
-2.995719667524099350e-03,2.508558273315429688e+01,-2.861325629055500031e-05,-3.814697265625000000e-05
-3.024332923814654350e-03,2.508554458618164062e+01,-2.324371598660945892e-05,-7.247924804687500000e-05
-3.047576639801263809e-03,2.508547210693359375e+01,3.448291681706905365e-05,8.392333984375000000e-05
-3.013093722984194756e-03,2.508555603027343750e+01,2.387282438576221466e-05,-3.814697265625000000e-06
-2.989220898598432541e-03,2.508555221557617188e+01,4.269275814294815063e-05,-4.959106445312500000e-05
-2.946528140455484390e-03,2.508550262451171875e+01,-3.477092832326889038e-06,-5.340576171875000000e-05
-2.950005233287811279e-03,2.508544921875000000e+01,-4.031835123896598816e-05,-1.716613769531250000e-05
-2.990323584526777267e-03,2.508543205261230469e+01,1.347253564745187759e-04,4.386901855468750000e-05
-2.855598228052258492e-03,2.508547592163085938e+01,-1.444343943148851395e-04,-2.288818359375000000e-05
-3.000032622367143631e-03,2.508545303344726562e+01,1.785741187632083893e-05,-3.433227539062500000e-05
-2.982175210490822792e-03,2.508541870117187500e+01,-9.484821930527687073e-06,1.163482666015625000e-04
-2.991660032421350479e-03,2.508553504943847656e+01,1.925532706081867218e-05,-7.820129394531250000e-05
-2.972404705360531807e-03,2.508545684814453125e+01,-4.939804784953594208e-05,7.247924804687500000e-05
-3.021802753210067749e-03,2.508552932739257812e+01,-2.645328640937805176e-05,-9.727478027343750000e-05
-3.048256039619445801e-03,2.508543205261230469e+01,1.385305076837539673e-04,-1.907348632812500000e-06
-2.909725531935691833e-03,2.508543014526367188e+01,-6.181932985782623291e-05,7.629394531250000000e-05
-2.971544861793518066e-03,2.508550643920898438e+01,3.014528192579746246e-05,-3.814697265625000000e-06
-2.941399579867720604e-03,2.508550262451171875e+01,-7.852097041904926300e-05,2.670288085937500000e-05
-3.019920550286769867e-03,2.508552932739257812e+01,1.119854860007762909e-04,-8.392333984375000000e-05
-2.907935064285993576e-03,2.508544540405273438e+01,-1.338259316980838776e-04,8.392333984375000000e-05
-3.041760995984077454e-03,2.508552932739257812e+01,-2.473639324307441711e-05,-4.577636718750000000e-05
-3.066497389227151871e-03,2.508548355102539062e+01,1.366236247122287750e-04,-1.144409179687500000e-05
-2.929873764514923096e-03,2.508547210693359375e+01,-9.262235835194587708e-05,6.294250488281250000e-05
-3.022496122866868973e-03,2.508553504943847656e+01,2.585607580840587616e-05,-5.149841308593750000e-05
-2.996640047058463097e-03,2.508548355102539062e+01,1.652655191719532013e-05,-1.716613769531250000e-05
-2.980113495141267776e-03,2.508546638488769531e+01,-1.792353577911853790e-05,-6.675720214843750000e-05
-2.998037030920386314e-03,2.508539962768554688e+01,7.519009523093700409e-05,1.182556152343750000e-04
-2.922846935689449310e-03,2.508551788330078125e+01,-1.089358702301979065e-04,1.907348632812500000e-05
-3.031782805919647217e-03,2.508553695678710938e+01,1.231590285897254944e-04,-1.029968261718750000e-04
-2.908623777329921722e-03,2.508543395996093750e+01,-2.902257256209850311e-05,8.392333984375000000e-05
-2.937646349892020226e-03,2.508551788330078125e+01,-1.341563183814287186e-04,-2.098083496093750000e-05
-3.071802668273448944e-03,2.508549690246582031e+01,8.284114301204681396e-07,6.675720214843750000e-05
-3.070974256843328476e-03,2.508556365966796875e+01,1.228267792612314224e-04,5.722045898437500000e-06
-2.948147477582097054e-03,2.508556938171386719e+01,-2.584978938102722168e-05,-9.727478027343750000e-05
-2.973997266963124275e-03,2.508547210693359375e+01,3.803987056016921997e-06,7.629394531250000000e-05
-2.970193279907107353e-03,2.508554840087890625e+01,3.000674769282341003e-05,5.722045898437500000e-05
-2.940186532214283943e-03,2.508560562133789062e+01,-9.975628927350044250e-06,-7.629394531250000000e-05
-2.950162161141633987e-03,2.508552932739257812e+01,5.443813279271125793e-05,-9.155273437500000000e-05
-2.895724028348922729e-03,2.508543777465820312e+01,-9.968806989490985870e-05,7.247924804687500000e-05
-2.995412098243832588e-03,2.508551025390625000e+01,8.014962077140808105e-05,3.814697265625000000e-05
-2.915262477472424507e-03,2.508554840087890625e+01,-1.697679981589317322e-04,-9.536743164062500000e-05
-3.085030475631356239e-03,2.508545303344726562e+01,1.420632470399141312e-04,8.010864257812500000e-05
-2.942967228591442108e-03,2.508553314208984375e+01,-3.299349918961524963e-05,-4.196166992187500000e-05
-2.975960727781057358e-03,2.508549118041992188e+01,-3.632367588579654694e-05,2.670288085937500000e-05
-3.012284403666853905e-03,2.508551788330078125e+01,5.295407027006149292e-05,-1.907348632812500000e-05
-2.959330333396792412e-03,2.508549880981445312e+01,7.117539644241333008e-05,3.814697265625000000e-06
-2.888154936954379082e-03,2.508550262451171875e+01,-7.333909161388874054e-05,-4.768371582031250000e-05
-2.961494028568267822e-03,2.508545494079589844e+01,1.525762490928173065e-05,1.907348632812500000e-06
-2.946236403658986092e-03,2.508545684814453125e+01,-2.343836240470409393e-05,-9.536743164062500000e-06
-2.969674766063690186e-03,2.508544731140136719e+01,-1.901085488498210907e-05,8.201599121093750000e-05
-2.988685620948672295e-03,2.508552932739257812e+01,9.149080142378807068e-06,-8.010864257812500000e-05
-2.979536540806293488e-03,2.508544921875000000e+01,5.213636904954910278e-05,-9.727478027343750000e-05
-2.927400171756744385e-03,2.508535194396972656e+01,-1.440504565834999084e-04,1.964569091796875000e-04
-3.071450628340244293e-03,2.508554840087890625e+01,7.079890929162502289e-05,-1.182556152343750000e-04
-3.000651719048619270e-03,2.508543014526367188e+01,-3.132317215204238892e-05,8.773803710937500000e-05
-3.031974891200661659e-03,2.508551788330078125e+01,-7.809838280081748962e-06,7.629394531250000000e-06
-3.039784729480743408e-03,2.508552551269531250e+01,7.364293560385704041e-05,3.814697265625000000e-05
-2.966141793876886368e-03,2.508556365966796875e+01,1.577520743012428284e-05,-1.220703125000000000e-04
-2.950366586446762085e-03,2.508544158935546875e+01,-3.249617293477058411e-05,1.144409179687500000e-05
-2.982862759381532669e-03,2.508545303344726562e+01,-3.042304888367652893e-05,9.536743164062500000e-05
-3.013285808265209198e-03,2.508554840087890625e+01,8.218153379857540131e-05,-1.182556152343750000e-04
-2.931104274466633797e-03,2.508543014526367188e+01,1.435005106031894684e-05,5.722045898437500000e-05
-2.916754223406314850e-03,2.508548736572265625e+01,-9.132153354585170746e-05,1.907348632812500000e-05
-3.008075756952166557e-03,2.508550643920898438e+01,4.671351052820682526e-05,9.536743164062500000e-05
-2.961362246423959732e-03,2.508560180664062500e+01,-1.138076186180114746e-05,-1.049041748046875000e-04
-2.972743008285760880e-03,2.508549690246582031e+01,1.177769154310226440e-04,1.144409179687500000e-05
-2.854966092854738235e-03,2.508550834655761719e+01,-1.823350321501493454e-04,-2.479553222656250000e-05
-3.037301125004887581e-03,2.508548355102539062e+01,3.121304325759410858e-05,3.051757812500000000e-05
-3.006088081747293472e-03,2.508551406860351562e+01,1.351395621895790100e-05,-4.196166992187500000e-05
-2.992574125528335571e-03,2.508547210693359375e+01,-7.312768138945102692e-05,-9.536743164062500000e-06
