theta_0,theta_1,gt_x,gt_y,frame0_00,frame0_01,frame0_02,frame0_10,frame0_11,frame0_12,frame0_20,frame0_21,frame0_22,frame1_00,frame1_01,frame1_02,frame1_10,frame1_11,frame1_12,frame1_20,frame1_21,frame1_22,frame2_00,frame2_01,frame2_02,frame2_10,frame2_11,frame2_12,frame2_20,frame2_21,frame2_22,frame3_00,frame3_01,frame3_02,frame3_10,frame3_11,frame3_12,frame3_20,frame3_21,frame3_22
-0.0030176716,25.0854797363,0.9494920034,-0.0217629099,0.9999954468,0.0030176671,0.0000000000,-0.0030176671,0.9999954468,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999954468,0.0030176671,0.5499974958,-0.0030176671,0.9999954468,-0.0016597169,0.0000000000,0.0000000000,1.0000000000,0.9987362691,0.0502579825,0.5499974958,-0.0502579825,0.9987362691,-0.0016597169,0.0000000000,0.0000000000,1.0000000000,0.9987362691,0.0502579825,0.9494920034,-0.0502579825,0.9987362691,-0.0217629099,0.0000000000,0.0000000000,1.0000000000
-0.0029271261,25.0853710175,0.9494917860,-0.0217203702,0.9999957160,0.0029271220,0.0000000000,-0.0029271220,0.9999957160,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999957160,0.0029271220,0.5499976438,-0.0029271220,0.9999957160,-0.0016099171,0.0000000000,0.0000000000,1.0000000000,0.9987353556,0.0502761329,0.5499976438,-0.0502761329,0.9987353556,-0.0016099171,0.0000000000,0.0000000000,1.0000000000,0.9987353556,0.0502761329,0.9494917860,-0.0502761329,0.9987353556,-0.0217203702,0.0000000000,0.0000000000,1.0000000000
-0.0029255666,25.0854587555,0.9494935827,-0.0216838386,0.9999957205,0.0029255625,0.0000000000,-0.0029255625,0.9999957205,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999957205,0.0029255625,0.5499976463,-0.0029255625,0.9999957205,-0.0016090594,0.0000000000,0.0000000000,1.0000000000,0.9987398411,0.0501869480,0.5499976463,-0.0501869480,0.9987398411,-0.0016090594,0.0000000000,0.0000000000,1.0000000000,0.9987398411,0.0501869480,0.9494935827,-0.0501869480,0.9987398411,-0.0216838386,0.0000000000,0.0000000000,1.0000000000
-0.0029887289,25.0855636597,0.9494943176,-0.0217019020,0.9999955338,0.0029887245,0.0000000000,-0.0029887245,0.9999955338,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999955338,0.0029887245,0.5499975436,-0.0029887245,0.9999955338,-0.0016437985,0.0000000000,0.0000000000,1.0000000000,0.9987419351,0.0501452587,0.5499975436,-0.0501452587,0.9987419351,-0.0016437985,0.0000000000,0.0000000000,1.0000000000,0.9987419351,0.0501452587,0.9494943176,-0.0501452587,0.9987419351,-0.0217019020,0.0000000000,0.0000000000,1.0000000000
-0.0030276566,25.0855369568,0.9494929359,-0.0217495312,0.9999954167,0.0030276520,0.0000000000,-0.0030276520,0.9999954167,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999954167,0.0030276520,0.5499974792,-0.0030276520,0.9999954167,-0.0016652086,0.0000000000,0.0000000000,1.0000000000,0.9987386419,0.0502108066,0.5499974792,-0.0502108066,0.9987386419,-0.0016652086,0.0000000000,0.0000000000,1.0000000000,0.9987386419,0.0502108066,0.9494929359,-0.0502108066,0.9987386419,-0.0217495312,0.0000000000,0.0000000000,1.0000000000
-0.0029331748,25.0854377747,0.9494929964,-0.0216994443,0.9999956982,0.0029331706,0.0000000000,-0.0029331706,0.9999956982,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999956982,0.0029331706,0.5499976340,-0.0029331706,0.9999956982,-0.0016132438,0.0000000000,0.0000000000,1.0000000000,0.9987384059,0.0502155010,0.5499976340,-0.0502155010,0.9987384059,-0.0016132438,0.0000000000,0.0000000000,1.0000000000,0.9987384059,0.0502155010,0.9494929964,-0.0502155010,0.9987384059,-0.0216994443,0.0000000000,0.0000000000,1.0000000000
-0.0030326124,25.0855026245,0.9494921383,-0.0217679523,0.9999954016,0.0030326077,0.0000000000,-0.0030326077,0.9999954016,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999954016,0.0030326077,0.5499974709,-0.0030326077,0.9999954016,-0.0016679343,0.0000000000,0.0000000000,1.0000000000,0.9987366685,0.0502500451,0.5499974709,-0.0502500451,0.9987366685,-0.0016679343,0.0000000000,0.0000000000,1.0000000000,0.9987366685,0.0502500451,0.9494921383,-0.0502500451,0.9987366685,-0.0217679523,0.0000000000,0.0000000000,1.0000000000
-0.0029758448,25.0854339600,0.9494919929,-0.0217414830,0.9999955722,0.0029758404,0.0000000000,-0.0029758404,0.9999955722,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999955722,0.0029758404,0.5499975647,-0.0029758404,0.9999955722,-0.0016367122,0.0000000000,0.0000000000,1.0000000000,0.9987360706,0.0502619270,0.5499975647,-0.0502619270,0.9987360706,-0.0016367122,0.0000000000,0.0000000000,1.0000000000,0.9987360706,0.0502619270,0.9494919929,-0.0502619270,0.9987360706,-0.0217414830,0.0000000000,0.0000000000,1.0000000000
-0.0029597480,25.0855293274,0.9494942577,-0.0216881004,0.9999956199,0.0029597437,0.0000000000,-0.0029597437,0.9999956199,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999956199,0.0029597437,0.5499975910,-0.0029597437,0.9999956199,-0.0016278590,0.0000000000,0.0000000000,1.0000000000,0.9987416668,0.0501506034,0.5499975910,-0.0501506034,0.9987416668,-0.0016278590,0.0000000000,0.0000000000,1.0000000000,0.9987416668,0.0501506034,0.9494942577,-0.0501506034,0.9987416668,-0.0216881004,0.0000000000,0.0000000000,1.0000000000
-0.0028586399,25.0854606628,0.9494950701,-0.0216195301,0.9999959141,0.0028586360,0.0000000000,-0.0028586360,0.9999959141,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999959141,0.0028586360,0.5499977528,-0.0028586360,0.9999959141,-0.0015722498,0.0000000000,0.0000000000,1.0000000000,0.9987432933,0.0501182006,0.5499977528,-0.0501182006,0.9987432933,-0.0015722498,0.0000000000,0.0000000000,1.0000000000,0.9987432933,0.0501182006,0.9494950701,-0.0501182006,0.9987432933,-0.0216195301,0.0000000000,0.0000000000,1.0000000000
-0.0029872446,25.0854759216,0.9494925885,-0.0217355436,0.9999955382,0.0029872402,0.0000000000,-0.0029872402,0.9999955382,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999955382,0.0029872402,0.5499975460,-0.0029872402,0.9999955382,-0.0016429821,0.0000000000,0.0000000000,1.0000000000,0.9987376062,0.0502314038,0.5499975460,-0.0502314038,0.9987376062,-0.0016429821,0.0000000000,0.0000000000,1.0000000000,0.9987376062,0.0502314038,0.9494925885,-0.0502314038,0.9987376062,-0.0217355436,0.0000000000,0.0000000000,1.0000000000
-0.0029176897,25.0855178833,0.9494949396,-0.0216527381,0.9999957435,0.0029176856,0.0000000000,-0.0029176856,0.9999957435,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999957435,0.0029176856,0.5499976590,-0.0029176856,0.9999957435,-0.0016047271,0.0000000000,0.0000000000,1.0000000000,0.9987432016,0.0501200277,0.5499976590,-0.0501200277,0.9987432016,-0.0016047271,0.0000000000,0.0000000000,1.0000000000,0.9987432016,0.0501200277,0.9494949396,-0.0501200277,0.9987432016,-0.0216527381,0.0000000000,0.0000000000,1.0000000000
-0.0030327600,25.0854873657,0.9494918283,-0.0217741882,0.9999954012,0.0030327553,0.0000000000,-0.0030327553,0.9999954012,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999954012,0.0030327553,0.5499974707,-0.0030327553,0.9999954012,-0.0016680154,0.0000000000,0.0000000000,1.0000000000,0.9987358942,0.0502654320,0.5499974707,-0.0502654320,0.9987358942,-0.0016680154,0.0000000000,0.0000000000,1.0000000000,0.9987358942,0.0502654320,0.9494918283,-0.0502654320,0.9987358942,-0.0217741882,0.0000000000,0.0000000000,1.0000000000
-0.0029230926,25.0855998993,0.9494964657,-0.0216251029,0.9999957278,0.0029230884,0.0000000000,-0.0029230884,0.9999957278,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999957278,0.0029230884,0.5499976503,-0.0029230884,0.9999957278,-0.0016076986,0.0000000000,0.0000000000,1.0000000000,0.9987470386,0.0500435107,0.5499976503,-0.0500435107,0.9987470386,-0.0016076986,0.0000000000,0.0000000000,1.0000000000,0.9987470386,0.0500435107,0.9494964657,-0.0500435107,0.9987470386,-0.0216251029,0.0000000000,0.0000000000,1.0000000000
-0.0029324673,25.0854320526,0.9494928968,-0.0217010584,0.9999957003,0.0029324631,0.0000000000,-0.0029324631,0.9999957003,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999957003,0.0029324631,0.5499976352,-0.0029324631,0.9999957003,-0.0016128547,0.0000000000,0.0000000000,1.0000000000,0.9987381541,0.0502205092,0.5499976352,-0.0502205092,0.9987381541,-0.0016128547,0.0000000000,0.0000000000,1.0000000000,0.9987381541,0.0502205092,0.9494928968,-0.0502205092,0.9987381541,-0.0217010584,0.0000000000,0.0000000000,1.0000000000
-0.0030134898,25.0854263306,0.9494910203,-0.0217802745,0.9999954594,0.0030134852,0.0000000000,-0.0030134852,0.9999954594,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999954594,0.0030134852,0.5499975027,-0.0030134852,0.9999954594,-0.0016574169,0.0000000000,0.0000000000,1.0000000000,0.9987337940,0.0503071441,0.5499975027,-0.0503071441,0.9987337940,-0.0016574169,0.0000000000,0.0000000000,1.0000000000,0.9987337940,0.0503071441,0.9494910203,-0.0503071441,0.9987337940,-0.0217802745,0.0000000000,0.0000000000,1.0000000000
-0.0029595764,25.0855865479,0.9494954086,-0.0216650780,0.9999956205,0.0029595721,0.0000000000,-0.0029595721,0.9999956205,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.9999956205,0.0029595721,0.5499975913,-0.0029595721,0.9999956205,-0.0016277647,0.0000000000,0.0000000000,1.0000000000,0.9987445434,0.0500932835,0.5499975913,-0.0500932835,0.9987445434,-0.0016277647,0.0000000000,0.0000000000,1.0000000000,0.9987445434,0.0500932835,0.9494954086,-0.0500932835,0.9987445434,-0.0216650780,0.0000000000,0.0000000000,1.0000000000
